StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q13,Q14,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q21_1,Q21_2,Q21_3,Q21_4,Q23,Q6,Q7,Q8,Q9,Q10,Q8,Q9,Q22,Q10,Q11,Q12,Q24
2022-05-07 10:43:17,2022-05-07 10:56:27,IP Address,100,789,True,2022-05-07 10:56:27,R_3EcDmnCDHcqKnVx,anonymous,EN,1,Yes,Yes,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,3 = Neither Agree nor Disagree,5 = Strongly Agree,3 = Neither Agree nor Disagree,4 = Agree,3 = Neither Agree nor Disagree,4 = Agree,2 = Disagree,3 = Neither Agree nor Disagree,5 = Strongly Agree,4 = Agree,5 = Strongly Agree,2 = Disagree,5 = Strongly Agree,1 = Strongly Disagree,1 = Had a positive impact,1 = Had a positive impact,1 = Had a positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,-2 = Had a strong negative impact,N/A = Not applicable/ Did not experience this,,Rocks are cool.,"Sometimes I felt too stupid in classes, so it made me feel like I didn't belong in the major",Nope.,"Yes. I actually already have a job waiting for me after I graduate as an environmental consultant. ",The geology club has helped me a lot in making connections to both my peers and faculty- as well as getting me outside and in nature!,I'll type it below,Female/ Non-binary (comfortable with either),Non-Hispanic or Latino,White,,,Yes
2022-05-07 14:19:08,2022-05-07 14:22:54,IP Address,100,225,True,2022-05-07 14:22:54,R_1k1E8zijmc1QuR6,anonymous,EN,1,Yes,Yes,5 = Strongly Agree,4 = Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,2 = Disagree,1 = Strongly Disagree,2 = Disagree,4 = Agree,4 = Agree,2 = Disagree,1 = Strongly Disagree,1 = Strongly Disagree,4 = Agree,4 = Agree,4 = Agree,1 = Strongly Disagree,3 = Neither Agree nor Disagree,1 = Strongly Disagree,2 = Had a strong positive impact,1 = Had a positive impact,0 = Had neither a positive nor a negative impact,1 = Had a positive impact,1 = Had a positive impact,0 = Had neither a positive nor a negative impact,2 = Had a strong positive impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,N/A = Not applicable/ Did not experience this,,fell into it,Nope,Nope,"Yes, a geologist",Team building,Female,,Non-Hispanic or Latino,White,,,Yes
2022-05-07 15:39:21,2022-05-07 15:49:57,IP Address,100,635,True,2022-05-07 15:49:58,R_3KGADzu0G85b5GF,anonymous,EN,1,Yes,Yes,4 = Agree,5 = Strongly Agree,3 = Neither Agree nor Disagree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,5 = Strongly Agree,2 = Disagree,5 = Strongly Agree,5 = Strongly Agree,2 = Disagree,1 = Strongly Disagree,1 = Strongly Disagree,2 = Disagree,5 = Strongly Agree,3 = Neither Agree nor Disagree,4 = Agree,2 = Disagree,1 = Strongly Disagree,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,2 = Had a strong positive impact,1 = Had a positive impact,N/A = Not applicable/ Did not experience this,N/A = Not applicable/ Did not experience this,,"It is the one subject throughout school that had me engaged and enjoying learning about it. ","I left a business management and entrepreneurship major to study Geoscience. Of all the majors, I would not leave to study another one, unless I was failing out of school. ","I switched from business management because of the first Water Planet class. We did a lab with the stream table that I loved. I find studying the Earth to be very personally engaging. ","I plan to continue on in the world of geosciences. I am intrigued by exploration geology, paleontology, soils and planetary geology","I have had to opportunity to meet some really awesome friends through the field trip that took place in spring of 2022 in SW Utah and Death Valley. The major is keeping me in college. ",Male,,Non-Hispanic or Latino,White,,,Yes
2022-05-08 13:30:05,2022-05-08 13:30:13,IP Address,100,8,True,2022-05-08 13:30:14,R_31vyUiHhxxUziB6,anonymous,EN,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-09 12:16:20,2022-05-09 12:48:16,IP Address,100,1915,True,2022-05-09 12:48:16,R_2yqMqFoOTGMxVNX,anonymous,EN,1,Yes,Yes,4 = Agree,4 = Agree,5 = Strongly Agree,4 = Agree,4 = Agree,2 = Disagree,1 = Strongly Disagree,4 = Agree,1 = Strongly Disagree,5 = Strongly Agree,4 = Agree,1 = Strongly Disagree,1 = Strongly Disagree,4 = Agree,4 = Agree,5 = Strongly Agree,2 = Disagree,2 = Disagree,4 = Agree,2 = Disagree,2 = Had a strong positive impact,0 = Had neither a positive nor a negative impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,N/A = Not applicable/ Did not experience this,N/A = Not applicable/ Did not experience this,,Geology feels exactly where I’m supposed to be,"I dropped out of college three times dealing with the aftermath of being a survivor ","Yes, economics (because it wasn’t impacted when applying for college) and I chose geology because I’m most passionate about geology and our Earth ","Yes, right now I have an internship at a civil engineering firm but I’m also considering the water district. But I’d like to do something more specific to geology and am considering grad school. ","My advisor has given me the opportunity to work on my own research with him and write a thesis.  ",Female,,Non-Hispanic or Latino,White,,"I am a survivor ",Yes
2022-05-09 13:30:58,2022-05-09 13:46:18,IP Address,100,919,True,2022-05-09 13:46:18,R_2CffnD2RNm13iUh,anonymous,EN,0.8999999761581421,Yes,Yes,2 = Disagree,1 = Strongly Disagree,4 = Agree,3 = Neither Agree nor Disagree,3 = Neither Agree nor Disagree,1 = Strongly Disagree,2 = Disagree,5 = Strongly Agree,1 = Strongly Disagree,4 = Agree,5 = Strongly Agree,2 = Disagree,2 = Disagree,4 = Agree,4 = Agree,4 = Agree,5 = Strongly Agree,2 = Disagree,4 = Agree,3 = Neither Agree nor Disagree,1 = Had a positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,-2 = Had a strong negative impact,-1 = Had a negative impact,-2 = Had a strong negative impact,2 = Had a strong positive impact,1 = Had a positive impact,N/A = Not applicable/ Did not experience this,N/A = Not applicable/ Did not experience this,"Due to classes being online during Covid, I have very little field experience and worry about how I will perform as a geoscientist after receiving my degree","I couldn’t pass CHEM120A for a Biological Science major, so I changed my major to Earth Science","Many times. I even applied and go into CSULB, but after taking with Professor Laton, I changed my mind.",Biological Sciences,Not really. I want to go back to come back to CSUF after I graduate to get my degree in Biological Sciences. I want to be a restoration project manager and having both of these degrees will make my very qualified and I’ll be able to follow my passion.,"I think sexuality of geoscience majors should be considered because it is a traditionally masculine field and from what I’ve seen, I think the student body would feel more supported by some sort of LGBTQ inclusion",Female,Genderqueer,Non-Hispanic or Latino,Other/I'll type it below,Ashkenazi Jew,,Yes
2022-05-09 15:08:52,2022-05-09 15:08:59,IP Address,100,7,True,2022-05-09 15:08:59,R_2zZSJx8nJ4DNPbh,anonymous,EN,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-10 06:42:17,2022-05-10 06:50:03,IP Address,100,465,True,2022-05-10 06:50:03,R_10qqOYIIzjU3UoC,anonymous,EN,0.800000011920929,Yes,Yes,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,4 = Agree,1 = Strongly Disagree,1 = Strongly Disagree,4 = Agree,4 = Agree,1 = Strongly Disagree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,4 = Agree,4 = Agree,2 = Disagree,4 = Agree,1 = Strongly Disagree,2 = Had a strong positive impact,0 = Had neither a positive nor a negative impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,0 = Had neither a positive nor a negative impact,1 = Had a positive impact,N/A = Not applicable/ Did not experience this,-1 = Had a negative impact,-1 = Had a negative impact,,I wanted to learn about the environment.,"Yes, I had a hard thing with the higher level math",No,"Yes, I feel qualified to do that.",,"Non-binary,Female",,Non-Hispanic or Latino,"Black or African American,White,More than one race","Dutch & African American ",I’m gay,Yes
2022-05-10 07:20:00,2022-05-10 07:29:06,IP Address,100,545,True,2022-05-10 07:29:06,R_1Cseu8GOErrd7sl,anonymous,EN,0.8999999761581421,Yes,Yes,4 = Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,3 = Neither Agree nor Disagree,4 = Agree,4 = Agree,5 = Strongly Agree,3 = Neither Agree nor Disagree,5 = Strongly Agree,4 = Agree,4 = Agree,2 = Disagree,2 = Disagree,4 = Agree,5 = Strongly Agree,5 = Strongly Agree,1 = Strongly Disagree,5 = Strongly Agree,1 = Strongly Disagree,1 = Had a positive impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,0 = Had neither a positive nor a negative impact,N/A = Not applicable/ Did not experience this,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,N/A = Not applicable/ Did not experience this,-1 = Had a negative impact,N/A = Not applicable/ Did not experience this,,I have had a lifetime passion for earth sciences and was drawn particularly by my love of paleontology and climatology that I had growing up. It was the best fit for my interests in science and where I wanted to apply myself.,I never considered changing my major to something outside of the realm of geosciences,,"my plan is to teach high school science in the short term while I consider where I truly want to take my geoscience degree. I haven’t quite found where or how I want to realize my passions in a career and want to take a break from academia ",,Non-binary,,Non-Hispanic or Latino,White,,,No
2022-05-10 08:07:46,2022-05-10 08:15:02,IP Address,100,435,True,2022-05-10 08:15:02,R_12RsTeCoTnVFifO,anonymous,EN,1,Yes,Yes,4 = Agree,3 = Neither Agree nor Disagree,3 = Neither Agree nor Disagree,4 = Agree,4 = Agree,4 = Agree,2 = Disagree,4 = Agree,2 = Disagree,4 = Agree,4 = Agree,1 = Strongly Disagree,2 = Disagree,4 = Agree,4 = Agree,3 = Neither Agree nor Disagree,4 = Agree,2 = Disagree,2 = Disagree,2 = Disagree,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,1 = Had a positive impact,1 = Had a positive impact,1 = Had a positive impact,-1 = Had a negative impact,N/A = Not applicable/ Did not experience this,,Always excited learning about anything involving geosciences and enjoyed field work,"Sometimes. I get imposter syndrome that I don’t really know enough to work or that being a woman will hinder me somehow ",Yes. English for my first degree. I chose geosciences because it just kept me more interested and challenged me in a different way,"Yes, I hope to go into environmental consulting or hydrogeology ",Being just generally encouraged by staff that I did actually retain and know things from class and not shamed or looked down on if I didn’t,Female,,Non-Hispanic or Latino,White,,"Queer ",Yes
2022-05-10 09:24:18,2022-05-10 09:32:43,IP Address,100,504,True,2022-05-10 09:32:43,R_yOWVhYOU9fO9pkd,anonymous,EN,1,Yes,Yes,4 = Agree,4 = Agree,4 = Agree,3 = Neither Agree nor Disagree,4 = Agree,4 = Agree,2 = Disagree,3 = Neither Agree nor Disagree,2 = Disagree,4 = Agree,4 = Agree,2 = Disagree,1 = Strongly Disagree,3 = Neither Agree nor Disagree,4 = Agree,4 = Agree,4 = Agree,2 = Disagree,4 = Agree,1 = Strongly Disagree,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,0 = Had neither a positive nor a negative impact,N/A = Not applicable/ Did not experience this,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,N/A = Not applicable/ Did not experience this,,"My love for rocks, minerals, and a general understanding for the world's history in regards to Earth's elements ",No,No,"Yes, still unsure of exactly what direction though","I think more acess to possible career options and job descriptions would be helpful. People say oil and gas etc but they never dive deep into exactly what the job discription is and what aspects it will entail ",Female,,Non-Hispanic or Latino,White,,,Yes
2022-05-10 09:46:32,2022-05-10 09:46:42,IP Address,100,9,True,2022-05-10 09:46:42,R_eK908YP2Vaoowy5,anonymous,EN,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-10 09:40:34,2022-05-10 09:47:49,IP Address,100,434,True,2022-05-10 09:47:49,R_1PRi8m8sImu4m7W,anonymous,EN,0.8999999761581421,Yes,Yes,5 = Strongly Agree,4 = Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,2 = Disagree,5 = Strongly Agree,3 = Neither Agree nor Disagree,4 = Agree,5 = Strongly Agree,1 = Strongly Disagree,2 = Disagree,4 = Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,1 = Strongly Disagree,4 = Agree,2 = Disagree,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,-1 = Had a negative impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,-1 = Had a negative impact,N/A = Not applicable/ Did not experience this,Field experience was only negative because of Liz. My classmates were lovely.,"I’ve been fascinated my plate tectonics since I was in middle school. 211 reignited and expanded my fascination ",Only once during the field structural class. The professor made the experience awful but I still get such a love for the subject and my classmates despite it all.,Never officially switched but I was planning on just doing and ESCI major when I came to western. Chose geology because my passion was reignited.,"Yes! Currently trying to decided between engineering geology or something more research heavy. ","Briefly touched on gender but as a trans person I’ve felt very welcomed by my peers in this program. Makes me hopeful for my future in geoscience ","Non-binary,Male,Intersex",,Non-Hispanic or Latino,White,,,No
2022-05-10 09:50:02,2022-05-10 09:55:23,IP Address,100,321,True,2022-05-10 09:55:24,R_2wLa5eS4EHpQGCq,anonymous,EN,0.699999988079071,Yes,Yes,4 = Agree,4 = Agree,5 = Strongly Agree,4 = Agree,4 = Agree,5 = Strongly Agree,4 = Agree,3 = Neither Agree nor Disagree,2 = Disagree,4 = Agree,5 = Strongly Agree,1 = Strongly Disagree,1 = Strongly Disagree,1 = Strongly Disagree,4 = Agree,4 = Agree,4 = Agree,2 = Disagree,3 = Neither Agree nor Disagree,1 = Strongly Disagree,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,1 = Had a positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,0 = Had neither a positive nor a negative impact,0 = Had neither a positive nor a negative impact,N/A = Not applicable/ Did not experience this,N/A = Not applicable/ Did not experience this,,I have always been fascinated with rocks and the Earth,"I haven’t, but I did leave other majors before deciding on Geology","My original major was computer science. I changed because I was hating the schoolwork I was doing and I’ve always been interested in geology ","Yes, I would like to go into emergency management as a GIS specialist to help predict landslide hazard areas and make plans in case something happens",Nope,Male,,Non-Hispanic or Latino,White,,,Yes
2022-05-10 09:49:13,2022-05-10 09:55:41,IP Address,100,388,True,2022-05-10 09:55:41,R_11iuDJ5U1rMz2Y4,anonymous,EN,0.8999999761581421,Yes,Yes,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,2 = Disagree,2 = Disagree,4 = Agree,4 = Agree,2 = Disagree,2 = Disagree,2 = Disagree,4 = Agree,4 = Agree,4 = Agree,3 = Neither Agree nor Disagree,4 = Agree,2 = Disagree,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,N/A = Not applicable/ Did not experience this,,I have always been fascinated by the Earth and all of it's sciences,No,No,"Yes, I plan on going into a field work centric career in geoscience and later on teaching my love of geoscience to younger generations",None,Male,,Non-Hispanic or Latino,White,,,Yes
2022-05-10 09:39:21,2022-05-10 09:57:45,IP Address,100,1104,True,2022-05-10 09:57:45,R_uk5nwQznqLLHYR3,anonymous,EN,0.8999999761581421,Yes,Yes,4 = Agree,4 = Agree,4 = Agree,3 = Neither Agree nor Disagree,4 = Agree,4 = Agree,3 = Neither Agree nor Disagree,3 = Neither Agree nor Disagree,2 = Disagree,4 = Agree,4 = Agree,2 = Disagree,2 = Disagree,3 = Neither Agree nor Disagree,4 = Agree,4 = Agree,4 = Agree,2 = Disagree,3 = Neither Agree nor Disagree,2 = Disagree,1 = Had a positive impact,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,1 = Had a positive impact,-1 = Had a negative impact,-1 = Had a negative impact,1 = Had a positive impact,1 = Had a positive impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,0 = Had neither a positive nor a negative impact,0 = Had neither a positive nor a negative impact,,"I have had a passion for geology from a young age, so this has been my childhood dream!","No. I love geology! ",N/A,"Yes. I plan on working in the field and taking the ASBOG and obtaining my geology license. ","With the pandemic I was not able to attend field camp in person so that puts me at a disadvantage in a way. ",Female,,Non-Hispanic or Latino,White,,,Yes
2022-05-10 10:58:58,2022-05-10 11:07:21,IP Address,100,503,True,2022-05-10 11:07:22,R_1mreiiVVz0mE8qS,anonymous,EN,1,Yes,Yes,5 = Strongly Agree,4 = Agree,5 = Strongly Agree,3 = Neither Agree nor Disagree,3 = Neither Agree nor Disagree,4 = Agree,2 = Disagree,5 = Strongly Agree,1 = Strongly Disagree,4 = Agree,3 = Neither Agree nor Disagree,2 = Disagree,1 = Strongly Disagree,4 = Agree,3 = Neither Agree nor Disagree,2 = Disagree,4 = Agree,4 = Agree,4 = Agree,2 = Disagree,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,N/A = Not applicable/ Did not experience this,1 = Had a positive impact,2 = Had a strong positive impact,-1 = Had a negative impact,1 = Had a positive impact,2 = Had a strong positive impact,1 = Had a positive impact,0 = Had neither a positive nor a negative impact,2 = Had a strong positive impact,-1 = Had a negative impact,N/A = Not applicable/ Did not experience this,,"career opportunities - coming from the physics major I felt very lost pondering my next move after graduation, but when I turned to geophysics, I felt I had multiple possible paths","no, I came to it from a far more negative environment","yes, I switched from physics to geophysics because it felt more real, less abstract. geophysics is applied in a way that makes sense, physics I would end up just sitting in a lab somewhere bored out of my mind. plus the lack of women in physics was really getting to me","yes, first I plan to get a Master's degree then find a job to start my career. I hope to work at a volcano. observatory or somewhere similar","the high percentage of gender minorities as students in the geology department really helped me feel at home, but there are still improvements to be made. I am fortunate enough to not have to do field camp, but every aspect of field work in the geology classes has accessibility issues that it doesn't seem they're even attempting to address",Female,,Non-Hispanic or Latino,White,,bisexual!,Yes
2022-05-10 11:29:07,2022-05-10 11:29:41,IP Address,100,34,True,2022-05-10 11:29:42,R_9t3OE28j3KeN3eV,anonymous,EN,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-10 12:36:28,2022-05-10 12:41:22,IP Address,100,293,True,2022-05-10 12:41:22,R_d0ZlzWp4Q1BvmwN,anonymous,EN,1,Yes,Yes,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,3 = Neither Agree nor Disagree,5 = Strongly Agree,4 = Agree,2 = Disagree,4 = Agree,1 = Strongly Disagree,5 = Strongly Agree,5 = Strongly Agree,1 = Strongly Disagree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,4 = Agree,4 = Agree,1 = Strongly Disagree,5 = Strongly Agree,2 = Disagree,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,-2 = Had a strong negative impact,-2 = Had a strong negative impact,,"I got in into this program, but it wasn't my main option.","Yes. I thought that to study things related to space I had to be i physics, I was wrong.",,"Yes, I am planning to do a Ph.D in Planetary Sciences this fall working with planetary geomorphology.",,Female,,Hispanic or Latino,More than one race,I am mixed (white and black),,Yes
2022-05-10 12:36:42,2022-05-10 12:44:19,IP Address,100,456,True,2022-05-10 12:44:19,R_3PT50AQSbJAL68P,anonymous,EN,0.8999999761581421,Yes,Yes,4 = Agree,3 = Neither Agree nor Disagree,4 = Agree,3 = Neither Agree nor Disagree,3 = Neither Agree nor Disagree,3 = Neither Agree nor Disagree,2 = Disagree,4 = Agree,2 = Disagree,4 = Agree,4 = Agree,2 = Disagree,4 = Agree,5 = Strongly Agree,4 = Agree,3 = Neither Agree nor Disagree,4 = Agree,3 = Neither Agree nor Disagree,4 = Agree,3 = Neither Agree nor Disagree,1 = Had a positive impact,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,1 = Had a positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,1 = Had a positive impact,0 = Had neither a positive nor a negative impact,N/A = Not applicable/ Did not experience this,1 = Had a positive impact,N/A = Not applicable/ Did not experience this,-2 = Had a strong negative impact,-1 = Had a negative impact,,"Interest in Environmental  and Earth sciences ",Wasn’t sure if geology was the kind of environmental science I liked,n/a,environmental consulting,n/a,Female,,Hispanic or Latino,White,,,Yes
2022-05-10 12:45:41,2022-05-10 12:54:04,IP Address,100,502,True,2022-05-10 12:54:05,R_3lEcdT82X2OPeJS,anonymous,EN,0.800000011920929,Yes,Yes,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,2 = Disagree,5 = Strongly Agree,1 = Strongly Disagree,5 = Strongly Agree,5 = Strongly Agree,1 = Strongly Disagree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,2 = Disagree,4 = Agree,2 = Disagree,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,-1 = Had a negative impact,-2 = Had a strong negative impact,,"I chose geology as a major because it was (and still is) the only major that I’ve like since I was in High School. Also, I chose it because I love volcanoes!",I have not consider leaving my geology major.,I didn’t switch.,Yes! I am planning on doing graduate studies in the volcanology field in hopes to become a volcanologist in the near future.,,Female,,Hispanic or Latino,Black or African American,,,Yes
2022-05-10 12:44:47,2022-05-10 12:54:32,IP Address,100,585,True,2022-05-10 12:54:33,R_eb5W4QHdhxoJSVz,anonymous,EN,0.8999999761581421,Yes,Yes,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,5 = Strongly Agree,2 = Disagree,5 = Strongly Agree,2 = Disagree,5 = Strongly Agree,4 = Agree,1 = Strongly Disagree,4 = Agree,3 = Neither Agree nor Disagree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,3 = Neither Agree nor Disagree,5 = Strongly Agree,5 = Strongly Agree,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,0 = Had neither a positive nor a negative impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,-2 = Had a strong negative impact,-1 = Had a negative impact,,Outdoor research and nature,no,n/a,"yes. I plan to continue graduate school in geosciences such as astrogeology, geophysics and petrology",,Non-binary,,Hispanic or Latino,Other/I'll type it below,Boricua,lgbtq+,Yes
2022-05-10 12:49:08,2022-05-10 12:58:56,IP Address,100,588,True,2022-05-10 12:58:56,R_tMQZDQbOFypFSql,anonymous,EN,1,Yes,Yes,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,4 = Agree,4 = Agree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,2 = Disagree,2 = Disagree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,2 = Disagree,4 = Agree,3 = Neither Agree nor Disagree,2 = Had a strong positive impact,1 = Had a positive impact,0 = Had neither a positive nor a negative impact,2 = Had a strong positive impact,1 = Had a positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,1 = Had a positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,0 = Had neither a positive nor a negative impact,0 = Had neither a positive nor a negative impact,N/A = Not applicable/ Did not experience this,,My love for mountains and helping people with geological hazards,Yes. Did not feel motivated by the department in my university.,No.,Most probably. Would like to work to gain experience and then continue my graduate studies.,,Female,,Hispanic or Latino,White,"Hispanic - Puerto Rican ",,Yes
2022-05-10 13:00:52,2022-05-10 13:11:43,IP Address,100,651,True,2022-05-10 13:11:44,R_2E0tRjZ1wJ6m9DS,anonymous,EN,1,Yes,Yes,4 = Agree,4 = Agree,3 = Neither Agree nor Disagree,2 = Disagree,2 = Disagree,3 = Neither Agree nor Disagree,3 = Neither Agree nor Disagree,4 = Agree,1 = Strongly Disagree,5 = Strongly Agree,5 = Strongly Agree,1 = Strongly Disagree,5 = Strongly Agree,3 = Neither Agree nor Disagree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,5 = Strongly Agree,3 = Neither Agree nor Disagree,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,2 = Had a strong positive impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,2 = Had a strong positive impact,1 = Had a positive impact,2 = Had a strong positive impact,1 = Had a positive impact,-1 = Had a negative impact,-1 = Had a negative impact,,I want to become a water scientist (Hydrogeologist).,"Sometimes, due to economical issues at the University. ",No.,Yes. I want to persue my graduate studies in hydrogeology,,Male,"Masculine ",Hispanic or Latino,"American Indian or Alaska Native,Asian,More than one race","Taino ",,Yes
